"ENTIDAD","MUNICIPIO","CLAVE_ENTIDAD","CLAVE_MUNICIPIO","region","POBLACION","LATITUD","LONGITUD","Casos","Tasa_Casos_Positivos","Defunciones","Tasa_Defunciones","Negativos","Tasa_Casos_Negativos","Sospechosos","Tasa_Casos_Sospechosos"
"CIUDAD DE MEXICO","ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,137775,18148.8980249942,3301,434.835872839817,201415,26532.1015837721,8682,1143.66708512429
"CIUDAD DE MEXICO","AZCAPOTZALCO",9,2,"09002",432205,19.484103,-99.184361,49068,11352.9459400053,2658,614.985944170012,105319,24367.8347080668,3688,853.298781828068
"CIUDAD DE MEXICO","BENITO JUAREZ",9,14,"09014",434153,19.371992,-99.157853,32539,7494.82325355347,1453,334.674642349586,111360,25649.943683448,6365,1466.07302034076
"CIUDAD DE MEXICO","COYOACAN",9,3,"09003",614447,19.350214,-99.162146,51813,8432.46040748836,2656,432.258600009439,164723,26808.3333468957,5796,943.287215984454
"CIUDAD DE MEXICO","CUAJIMALPA DE MORELOS",9,4,"09004",217686,19.35735,-99.299792,17276,7936.20168499582,597,274.248229100631,52668,24194.4819602547,3363,1544.8857528734
"CIUDAD DE MEXICO","CUAUHTEMOC",9,15,"09015",545884,19.441647,-99.151884,49073,8989.63882436562,2618,479.589070205392,163652,29979.262993603,5877,1076.6023550791
"CIUDAD DE MEXICO","GUSTAVO A. MADERO",9,5,"09005",1173351,19.482945,-99.113471,108370,9235.94048157798,6101,519.963761909267,316131,26942.5772850579,17328,1476.79594597013
"CIUDAD DE MEXICO","IZTACALCO",9,6,"09006",404695,19.395901,-99.097613,38347,9475.53095541086,2536,626.644757162802,111725,27607.2103683021,3288,812.463707236314
"CIUDAD DE MEXICO","IZTAPALAPA",9,7,"09007",1835486,19.359004,-99.092623,150759,8213.57395262072,7849,427.625163035839,480261,26165.331688719,13838,753.914766988144
"CIUDAD DE MEXICO","LA MAGDALENA CONTRERAS",9,8,"09008",247622,19.304898,-99.241516,27868,11254.250430091,820,331.149897828141,94451,38143.2182923973,2622,1058.87199037242
"CIUDAD DE MEXICO","MIGUEL HIDALGO",9,16,"09016",414470,19.407269,-99.190754,32038,7729.87188457548,1417,341.882404034068,86295,20820.5660240789,4813,1161.24206818346
"CIUDAD DE MEXICO","MILPA ALTA",9,9,"09009",152685,19.191249,-99.023372,20190,13223.3028784753,380,248.87840979795,59153,38741.854144153,1110,726.986933883486
"CIUDAD DE MEXICO","NO ESPECIFICADO",NA,NA,NA,NA,NA,NA,17,NA,1,NA,26,NA,NA,NA
"CIUDAD DE MEXICO","TLAHUAC",9,11,"09011",392313,19.270566,-99.004846,49714,12672.0246333922,1169,297.976360711983,128518,32759.0469854427,2755,702.245400993594
"CIUDAD DE MEXICO","TLALPAN",9,12,"09012",699928,19.288275,-99.167126,93333,13334.6572790344,2142,306.031477523402,174605,24946.1373169812,5109,729.932221599936
"CIUDAD DE MEXICO","VENUSTIANO CARRANZA",9,17,"09017",443704,19.419262,-99.113701,45035,10149.7845410454,2269,511.376954005373,136752,30820.5470313542,3800,856.426807060563
"CIUDAD DE MEXICO","XOCHIMILCO",9,13,"09013",442178,19.263462,-99.104913,51701,11692.3501395366,1418,320.685334865145,148126,33499.179063635,3285,742.913487328632
"CIUDAD DE MEXICO",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,1,NA
